"Front","Back","Tags"
"<br>:PROPERTIES:<br>:ID:       fa1010f3-e4ce-4a48-b077-7387a37ca2f6<br>:END:<br><br>For a geothermal project, the temperature increases from 20°C at the surface of the earth to 90°C at a depth of 2 km below the ground. Assuming a linear temperature gradient, the underground temperature at 3800 m below the ground surface is most nearly<br><br>$($A$)$<br><br>113°C<br><br>$($B$)$<br><br>133°C<br><br>$($C$)$<br><br>153°C<br><br>$($D$)$<br><br>173°C<br><br>"," <br><br>Geothermal energy is generated when water comes into contact with heated underground rocks. The heat turns the water into a steam which can be used to generate power. In this problem, the thermal gradient, &lt;em&gt;m&lt;/em&gt;, is constant because the thermal variation along the depth is linear. Calculate the slope, &lt;em&gt;m&lt;/em&gt;.<br>&lt;img src=&quot;000648.png&quot;&gt; <br>Use the point-slope form of the straight-line equation.<br>&lt;img src=&quot;000366.png&quot;&gt;  &lt;img src=&quot;000404.png&quot;&gt;  <br>Therefore, the temperature at a depth of 3800 m can be determined as<br>&lt;img src=&quot;000432.png&quot;&gt; <br>***The answer is $($C$)$.***<br><br>","ME_Exam,Problem_0"
"<br>:PROPERTIES:<br>:ID:       6cf2a1b6-abd5-4a0c-a3bc-ff4271120fad<br>:END:<br><br>A particle moves along a line so that its position at time &lt;em&gt;t&lt;/em&gt; is<br>&lt;img src=&quot;000795.png&quot;&gt;  <br>The velocity at &lt;em&gt;t&lt;/em&gt; = 2.5 s is most nearly<br><br>$($A$)$<br><br>0.78<br><br>$($B$)$<br><br>0.84<br><br>$($C$)$<br><br>0.92<br><br>$($D$)$<br><br>2.1<br><br>"," <br><br>The velocity, v, is defined as the distance travelled per unit time.<br>&lt;img src=&quot;000534.png&quot;&gt;  <br>Use the *NCEES Handbook*, Mathematics: Derivatives section. Use the quotient rule.<br>&lt;img src=&quot;000359.png&quot;&gt; <br>Let &lt;em&gt;u&lt;/em&gt; = &lt;em&gt;t&lt;/em&gt;2 \+ 1 and v = &lt;em&gt;t&lt;/em&gt; \+ 1.<br>&lt;img src=&quot;000165.png&quot;&gt; <br>Substitute these values into the velocity equation.<br>&lt;img src=&quot;000313.png&quot;&gt; <br>For &lt;em&gt;t&lt;/em&gt; = 2.5 s, find the velocity.<br>&lt;img src=&quot;000768.png&quot;&gt;  <br>***The answer is $($B$)$.***<br><br>","ME_Exam,Problem_1"
"<br>:PROPERTIES:<br>:ID:       80cb615b-5782-4a3c-abe3-5ebd0429fd73<br>:END:<br><br>A differential equation is given.<br>&lt;img src=&quot;000568.png&quot;&gt; <br>Its general solution is<br><br>$($A$)$<br><br>&lt;em&gt;y&lt;/em&gt; = &lt;em&gt;C&lt;/em&gt;1&lt;em&gt;e&lt;/em&gt;−2&lt;em&gt;x&lt;/em&gt; \+ &lt;em&gt;C&lt;/em&gt;2&lt;em&gt;e&lt;/em&gt;−&lt;em&gt;x&lt;/em&gt;<br><br>$($B$)$<br><br>&lt;em&gt;y&lt;/em&gt; = &lt;em&gt;C&lt;/em&gt;1&lt;em&gt;e&lt;/em&gt;2&lt;em&gt;x&lt;/em&gt; \+ C2&lt;em&gt;e&lt;/em&gt;&lt;em&gt;x&lt;/em&gt;<br><br>$($C$)$<br><br>&lt;em&gt;y&lt;/em&gt; = &lt;em&gt;C&lt;/em&gt;1&lt;em&gt;e&lt;/em&gt;&lt;em&gt;i&lt;/em&gt;2&lt;em&gt;x&lt;/em&gt; \+ &lt;em&gt;C&lt;/em&gt;2&lt;em&gt;e&lt;/em&gt;&lt;em&gt;ix&lt;/em&gt;<br><br>$($D$)$<br><br>&lt;em&gt;y&lt;/em&gt; = &lt;em&gt;e&lt;/em&gt;&lt;em&gt;x&lt;/em&gt; $($3 cos &lt;em&gt;x&lt;/em&gt; \+ 2 sin &lt;em&gt;x&lt;/em&gt;$)$<br><br>"," <br><br>The equation is a second-order linear homogeneous differential equation with constant real coefficients.<br><br>For the form &lt;em&gt;y&lt;/em&gt;′′ \+ &lt;em&gt;ay&lt;/em&gt;′ \+ &lt;em&gt;b&lt;/em&gt; = 0, the general solution is<br>&lt;img src=&quot;000405.png&quot;&gt;  <br>Substituting this solution in the equation gives<br>&lt;img src=&quot;000647.png&quot;&gt; <br>The roots are &lt;em&gt;r&lt;/em&gt;1 = −2 and &lt;em&gt;r&lt;/em&gt;2 = −1.<br><br>Since the roots are real, the solution is of the form<br>&lt;img src=&quot;000462.png&quot;&gt; <br>Substituting the values of &lt;em&gt;r&lt;/em&gt;1 and &lt;em&gt;r&lt;/em&gt;2, the solution is<br>&lt;img src=&quot;000298.png&quot;&gt;  <br>***The answer is $($A$)$.***<br><br>","ME_Exam,Problem_2"
"<br>:PROPERTIES:<br>:ID:       1de5ed74-607f-4036-8c84-22fa5bdea521<br>:END:<br><br>Two matrices are given.<br>&lt;img src=&quot;000511.png&quot;&gt; <br>Matrices &lt;em&gt;A&lt;/em&gt; and &lt;em&gt;B&lt;/em&gt; are multiplied to obtain a product matrix &lt;em&gt;C&lt;/em&gt;. Which statement about the matrix multiplication is true?<br><br>$($A$)$<br><br>The product matrix &lt;em&gt;C&lt;/em&gt; will have two rows and three columns.<br><br>$($B$)$<br><br>The product matrix &lt;em&gt;C&lt;/em&gt; will have three rows and two columns.<br><br>$($C$)$<br><br>The product matrix &lt;em&gt;C&lt;/em&gt; will have three rows and three columns.<br><br>$($D$)$<br><br>The multiplication is not possible since the matrices &lt;em&gt;A&lt;/em&gt; and &lt;em&gt;B&lt;/em&gt; do not have the same number of rows and columns.<br><br>"," <br><br>To multiply two matrices, the number of columns in the first matrix should equal the number of rows in the second matrix. In this case, the condition is satisfied because matrix &lt;em&gt;A&lt;/em&gt; has two columns and matrix &lt;em&gt;B&lt;/em&gt; has two rows. Therefore, the multiplication of matrices &lt;em&gt;A&lt;/em&gt; and &lt;em&gt;B&lt;/em&gt; is possible. Option D is incorrect. The product matrix will have as many rows as the first matrix and as many columns as the second matrix. Therefore, the product matrix &lt;em&gt;C&lt;/em&gt; will have three rows and three columns.<br><br>***The answer is $($C$)$.***<br><br>","ME_Exam,Problem_3"
"<br>:PROPERTIES:<br>:ID:       c0778132-d384-4ef6-9079-85266082f46e<br>:END:<br><br>Consider the equation &lt;em&gt;x&lt;/em&gt;7 − 100 = 0. The zeroth root equals 2. Using Newton’s method of root extraction, what is most nearly the value of &lt;em&gt;x&lt;/em&gt; after the second iteration? <br><br>$($A$)$<br><br>0.1429<br><br>$($B$)$<br><br>1.9307<br><br>$($C$)$<br><br>1.9308<br><br>$($D$)$<br><br>1.9375<br><br>"," <br><br>See the *NCEES Handbook*, Mathematics section, for Newton’s method of root extraction. The equation can be simplified as<br>&lt;img src=&quot;000057.png&quot;&gt; <br>The initial estimated root value, &lt;em&gt;a&lt;/em&gt;0 = 2, is near enough to the actual root that the algorithm would converge.<br><br>**step 1: **<br><br>Find the derivative of the function.<br>&lt;img src=&quot;000322.png&quot;&gt; <br>The zero root is given as<br>&lt;img src=&quot;000443.png&quot;&gt;<br><br>**step 2: **<br><br>Use the zeroth root value and determine the first root.<br>&lt;img src=&quot;000305.png&quot;&gt;<br><br>**step 3: **<br><br>Use the first root value and determine the second root.<br>&lt;img src=&quot;000598.png&quot;&gt;<br><br>***The answer is $($C$)$.***<br><br>","ME_Exam,Problem_4"
"<br>:PROPERTIES:<br>:ID:       2ea8efc6-f640-492b-bb36-9c85c5042278<br>:END:<br><br>Consider the following program segment.<br>     10 INPUT A  20 B= 1  30 ITER=1  40 ITER=ITER \+ 1  50 C=0.5\*$($B\+A/B$)$  60 B=C  70 GOTO 40   80 END <br>What is the programing error in the algorithm?<br><br>$($A$)$<br><br>division by zero<br><br>$($B$)$<br><br>endless loop<br><br>$($C$)$<br><br>missing print statement<br><br>$($D$)$<br><br>both endless loop and missing print statement<br><br>"," <br><br>The algorithm has an endless loop. It keeps on iterating or looping; it never reaches the END statement. The missing print statement is not considered an error.<br><br>***The answer is $($B$)$.***<br><br>","ME_Exam,Problem_5"
"<br>:PROPERTIES:<br>:ID:       cf0f8585-bbe9-4940-a879-fc98fee46d71<br>:END:<br><br>What is the differential ∂*z/*∂&lt;em&gt;s&lt;/em&gt; for *z = xy* where *x = s2 \+ t2* and *y = s/t*?<br><br>$($A$)$<br><br>&lt;img src=&quot;000510.png&quot;&gt;<br><br>$($B$)$<br><br>&lt;img src=&quot;000748.png&quot;&gt;<br><br>$($C$)$<br><br>&lt;img src=&quot;000755.png&quot;&gt;<br><br>$($D$)$<br><br>&lt;img src=&quot;000008.png&quot;&gt;<br><br>"," <br><br>Use the *NCEES Handbook*, Mathematics: Partial Derivative section. Use the differential chain rule to determine the differential.<br>&lt;img src=&quot;000358.png&quot;&gt;  <br>***The answer is $($A$)$.***<br><br>","ME_Exam,Problem_6"
"<br>SCHEDULED: &lt;2024-06-26 Wed&gt;<br>:PROPERTIES:<br>:ID:       f348859d-21df-4034-bf58-1e520a1c1120<br>:DRILL_LAST_INTERVAL: 5.0<br>:DRILL_REPEATS_SINCE_FAIL: 1<br>:DRILL_TOTAL_REPEATS: 1<br>:DRILL_FAILURE_COUNT: 0<br>:DRILL_AVERAGE_QUALITY: 0.0<br>:DRILL_EASE: 2.5<br>:DRILL_LAST_QUALITY: 3<br>:DRILL_LAST_REVIEWED: [Y-06-20 Thu 15:%]<br>:END:<br><br>An integral is shown.<br>&lt;img src=&quot;000003.png&quot;&gt; <br>What is the value of the integral?<br><br>$($A$)$<br><br>−21<br><br>$($B$)$<br><br>−7<br><br>$($C$)$<br><br>7<br><br>$($D$)$<br><br>21<br><br>"," <br><br>Calculate the value of the integral.<br>&lt;img src=&quot;000089.png&quot;&gt; <br>***The answer is $($A$)$.***<br><br>","ME_Exam,Problem_7"
"<br>:PROPERTIES:<br>:ID:       18972fed-b8a8-495b-ab96-99d12bb9700a<br>:END:<br><br>A crew of 5 workers is selected from a group of 8 male and 12 female workers. If the crew is made up of 1 man and 4 women, the number of ways the crew can be formed is<br><br>$($A$)$<br><br>3960<br><br>$($B$)$<br><br>11,900<br><br>$($C$)$<br><br>15,500<br><br>$($D$)$<br><br>95,000<br><br>"," <br><br>The order in which workers are combined in a crew is not considered in group formation. The combination of &lt;em&gt;n&lt;/em&gt; objects taken &lt;em&gt;r&lt;/em&gt; at a time is expressed as<br>&lt;img src=&quot;000024.png&quot;&gt; <br>In this case one man is selected from 8 men, and 4 women are selected from 12 women. Thus, the number of combinations is<br>&lt;img src=&quot;000438.png&quot;&gt; <br>***The answer is $($A$)$.***<br><br>","ME_Exam,Problem_8"
"<br>:PROPERTIES:<br>:ID:       d04e505f-e8d0-422d-813c-96365c80182b<br>:END:<br><br>Four concrete specimens are tested. Their strengths are 4450 psi, 4675 psi, 4898 psi, and 4120 psi. The sample standard deviation is most nearly<br><br>$($A$)$<br><br>290 psi<br><br>$($B$)$<br><br>330 psi<br><br>$($C$)$<br><br>83,000 psi<br><br>$($D$)$<br><br>110,000 psi<br><br>"," <br><br>Calculate the mean of the strengths.<br>&lt;img src=&quot;000203.png&quot;&gt; <br>The sample variance, &lt;em&gt;s&lt;/em&gt;2, is calculated as<br>&lt;img src=&quot;000406.png&quot;&gt;  <br>Determine the simple standard deviation.<br>&lt;img src=&quot;000223.png&quot;&gt; <br>***The answer is $($B$)$.***<br><br>","ME_Exam,Problem_9"
