"Front","Back","Tags"
"<br>:PROPERTIES:<br>:ID:       726d5265-f3d5-45b9-9865-d2baab52fd01<br>:END:<br><br>The equation of a line passing through points $($1, 2$)$ and $($5, 0$)$ is<br><br>$($A$)$<br><br>2&lt;em&gt;y&lt;/em&gt; \+ &lt;em&gt;x&lt;/em&gt; = 5<br><br>$($B$)$<br><br>&lt;em&gt;y&lt;/em&gt; \+ 2&lt;em&gt;x&lt;/em&gt; = 5<br><br>$($C$)$<br><br>&lt;em&gt;y&lt;/em&gt; \+ 3&lt;em&gt;x&lt;/em&gt; = 5<br><br>$($D$)$<br><br>3&lt;em&gt;y&lt;/em&gt; \+ &lt;em&gt;x&lt;/em&gt; = 5<br><br>"," <br><br>See the *NCEES Handbook*, Mathematics section. The general equation of a straight line is<br>&lt;img src=&quot;000750.png&quot;&gt;  <br>The slope, &lt;em&gt;m&lt;/em&gt;, of a line passing through points $($&lt;em&gt;x&lt;/em&gt;1, &lt;em&gt;y&lt;/em&gt;1$)$ and $($&lt;em&gt;x&lt;/em&gt;2, &lt;em&gt;y&lt;/em&gt;2$)$ is<br>&lt;img src=&quot;000577.png&quot;&gt; <br>For the two given points, the slope is<br>&lt;img src=&quot;000074.png&quot;&gt;  <br>It can be represented graphically as<br>&lt;img src=&quot;000082.png&quot;&gt;  <br>Use the slope and one of the original points to calculate the standard form of the line.<br>&lt;img src=&quot;000029.png&quot;&gt; <br>The standard form of the line passing through the points $($1, 2$)$ and $($5, 0$)$ is<br>&lt;img src=&quot;000109.png&quot;&gt;  <br>***The answer is $($A$)$.***<br><br>","ME_Exam,Problem_0"
"<br>:PROPERTIES:<br>:ID:       ab201589-4eec-49e1-87c5-cd381ede2b72<br>:END:<br><br>Line &lt;em&gt;y&lt;/em&gt; = 2&lt;em&gt;x&lt;/em&gt; is rotated about the &lt;em&gt;y&lt;/em&gt;-axis. The volume of the resulting solid between &lt;em&gt;y&lt;/em&gt; = 0 and &lt;em&gt;y&lt;/em&gt; = 10 is most nearly<br><br>$($A$)$<br><br>50&lt;em&gt;π&lt;/em&gt;/3<br><br>$($B$)$<br><br>100&lt;em&gt;π&lt;/em&gt;/3<br><br>$($C$)$<br><br>150&lt;em&gt;π&lt;/em&gt;/3<br><br>$($D$)$<br><br>250&lt;em&gt;π&lt;/em&gt;/3<br><br>"," <br><br>The line represented by the equation is shown.<br>&lt;img src=&quot;000351.png&quot;&gt;  <br>The rotation of the line about its &lt;em&gt;y&lt;/em&gt;-axis generates a conical shape. The area of the circle at the top of the conical shape at a given &lt;em&gt;x&lt;/em&gt; is<br>&lt;img src=&quot;000274.png&quot;&gt; <br>The volume of a slice of thickness &lt;em&gt;dy&lt;/em&gt; is<br>&lt;img src=&quot;000259.png&quot;&gt;  <br>The volume between &lt;em&gt;y&lt;/em&gt; = 0 and &lt;em&gt;y&lt;/em&gt; = 10 is<br>&lt;img src=&quot;000345.png&quot;&gt;  <br>Shortcut: The solution can be arrived at by using the cone volume formula given in the Mensuration of Areas and Volumes section of the *NCEES Handbook*.<br><br>***The answer is $($D$)$.***<br><br>","ME_Exam,Problem_1"
"<br>:PROPERTIES:<br>:ID:       bb27b059-ebff-46c6-a17c-b6cfa5bc3d72<br>:END:<br><br>A differential equation, and its boundary conditions are<br>&lt;img src=&quot;000548.png&quot;&gt; <br>The general solution to the equation is<br><br>$($A$)$<br><br>&lt;em&gt;e&lt;/em&gt;−3&lt;em&gt;t&lt;/em&gt;<br><br>$($B$)$<br><br>&lt;em&gt;e&lt;/em&gt;3&lt;em&gt;t&lt;/em&gt;<br><br>$($C$)$<br><br>3&lt;em&gt;e&lt;/em&gt;&lt;em&gt;t&lt;/em&gt;<br><br>$($D$)$<br><br>&lt;em&gt;e&lt;/em&gt;&lt;em&gt;i&lt;/em&gt;3&lt;em&gt;t&lt;/em&gt;<br><br>"," <br><br>The equation is a first-order linear homogeneous differential equation with constant real coefficients. For the form &lt;em&gt;y&lt;/em&gt; ′ \+ &lt;em&gt;ay&lt;/em&gt; = 0, the general solution is &lt;em&gt;y&lt;/em&gt; = &lt;em&gt;Ce&lt;/em&gt;−&lt;em&gt;at&lt;/em&gt;. Here, &lt;em&gt;a&lt;/em&gt; = 3, so &lt;em&gt;y&lt;/em&gt; = &lt;em&gt;Ce&lt;/em&gt;−3&lt;em&gt;t&lt;/em&gt;.<br><br>The constant &lt;em&gt;C&lt;/em&gt; must satisfy the boundary condition. Substitute &lt;em&gt;y&lt;/em&gt;$($0$)$ = 1 into the general solution.<br>&lt;img src=&quot;000712.png&quot;&gt;  <br>Therefore, &lt;em&gt;C&lt;/em&gt; = 1, and &lt;em&gt;y&lt;/em&gt; = &lt;em&gt;e&lt;/em&gt;−3&lt;em&gt;t&lt;/em&gt;.<br><br>***The answer is A.***<br><br>","ME_Exam,Problem_2"
"<br>:PROPERTIES:<br>:ID:       bed3a32b-8feb-4b4a-823b-2577a16f9293<br>:END:<br><br>The area of a parallelogram bounded by vectors from the origin to points $($0, 5$)$ and $($4, 5$)$ is<br><br>$($A$)$<br><br>12.5<br><br>$($B$)$<br><br>16.0<br><br>$($C$)$<br><br>20.0<br><br>$($D$)$<br><br>25.0<br><br>"," <br><br>See the *NCEES Handbook*, Mathematics section. The parallelogram can be drawn as<br>&lt;img src=&quot;000781.png&quot;&gt;  <br>The two vectors are<br>&lt;img src=&quot;000098.png&quot;&gt; <br>The rule: The magnitude of determinant is the area of parallelogram, with vectors arranged in columns. For two given vectors, the area of the parallelogram is<br>&lt;img src=&quot;000498.png&quot;&gt; <br>***The answer is $($C$)$.***<br><br>","ME_Exam,Problem_3"
"<br>SCHEDULED: &lt;2024-06-28 Fri&gt;<br>:PROPERTIES:<br>:ID:       935b543b-5f9d-4aa2-948a-85a6a2bd7c92<br>:DRILL_LAST_INTERVAL: 6.3613<br>:DRILL_REPEATS_SINCE_FAIL: 2<br>:DRILL_TOTAL_REPEATS: 2<br>:DRILL_FAILURE_COUNT: 4<br>:DRILL_AVERAGE_QUALITY: 3.0<br>:DRILL_EASE: 2.606<br>:DRILL_LAST_QUALITY: 4<br>:DRILL_LAST_REVIEWED: [Y-06-20 Thu 15:%]<br>:END:<br><br>The following series equation is used to approximate the value of sin &lt;em&gt;x&lt;/em&gt;, where &lt;em&gt;x&lt;/em&gt; is an angle.<br>&lt;img src=&quot;000120.png&quot;&gt;<br>The value of a 30° angle is approximated using the equation. The nearest maximum error rounded to six decimal places is<br><br>$($A$)$<br><br>2×10−6<br><br>$($B$)$<br><br>4×10−6<br><br>$($C$)$<br><br>8×10−6<br><br>$($D$)$<br><br>1×10−7<br><br>"," <br><br>See the *NCEES Handbook*, Mathematics section, for definition of a Taylor series. In a Taylor series, the function &lt;em&gt;f&lt;/em&gt;$($&lt;em&gt;x&lt;/em&gt;$)$ is expanded about the point &lt;em&gt;a&lt;/em&gt; and expressed as<br>&lt;img src=&quot;000597.png&quot;&gt; <br>If the value of &lt;em&gt;a&lt;/em&gt; is zero, then the Taylor’s series expansion is called a Maclaurin’s series and is expressed as<br>&lt;img src=&quot;000773.png&quot;&gt; <br>The angle is<br>&lt;img src=&quot;000657.png&quot;&gt; <br>The equation in the problem statement is an alternating series of Maclaurin’s equation. For alternating series, the rule is that the error in approximating the function cannot be more than the first neglected term in the series. In this problem, the neglected term is –&lt;em&gt;x&lt;/em&gt;7/7\!.<br><br>Determine the maximum error as<br>&lt;img src=&quot;000146.png&quot;&gt; <br>***The answer is $($A$)$.***<br><br>","ME_Exam,Problem_4"
"<br>:PROPERTIES:<br>:ID:       11fadb63-821a-4016-9dce-e908d8759f10<br>:END:<br><br>Consider the following program segment.<br>     10 INPUT A  20 B = 1  30 ITER = 1  40 ITER = ITER \+ 1  50 C = 0.5\*$($B \+ A/B$)$  60 B = C  70 GOTO 40  80 END  <br>For A = 100 and ITER = 4, the value of C is most nearly<br><br>$($A$)$<br><br>10.00<br><br>$($B$)$<br><br>10.15<br><br>$($C$)$<br><br>10.81<br><br>$($D$)$<br><br>14.92<br><br>"," <br><br>The values of C at each iteration level are shown.<br>     ITER C = 0.5\*$($B \+ A/B$)$  1 = 0.5$($1 \+ 100/1$)$ = 50   2 = 0.5$($50 \+ 100/50$)$ = 26  3 = 0.5$($26 \+ 100/26$)$ = 14.92  4 = 0.5$($14.92 \+ 100/14.92$)$ = 10.81  5 = 0.5$($10.81 \+ 100/10.81$)$ = 10.03  6 = 0.5$($10.03 \+ 100/10.03$)$ = 10.00  <br>The algorithm is used to determine the square root of any number without using a square root function. The square root of 100 is 10, which is reached in six iterations. The problem asks for the value of C when at ITER = 4, which is 10.81.<br><br>***The answer is $($C$)$.***<br><br>","ME_Exam,Problem_5"
"<br>:PROPERTIES:<br>:ID:       11b6ffe6-b4d2-4f5d-9fda-6caad5c9765f<br>:END:<br><br>A matrix is shown.<br>&lt;img src=&quot;000049.png&quot;&gt; <br>The determinant of the matrix is most nearly<br><br>$($A$)$<br><br>−7<br><br>$($B$)$<br><br>10<br><br>$($C$)$<br><br>17<br><br>$($D$)$<br><br>24<br><br>"," <br><br>Expansion by minors is used to find the value of a determinant. Using the *NCEES Handbook* notations, calculate the value of a third-order determinant by expanding the determinant.<br>&lt;img src=&quot;000682.png&quot;&gt; <br>Use the above equation to calculate the determinant of the given matrix.<br>&lt;img src=&quot;000400.png&quot;&gt;  <br>***The answer is $($C$)$.***<br><br>","ME_Exam,Problem_6"
"<br>:PROPERTIES:<br>:ID:       1c2556fa-b02d-4ed6-a776-6b6a728a3620<br>:END:<br><br>Consider the following expression.<br>&lt;img src=&quot;000121.png&quot;&gt;  <br>The value of this expression is<br><br>$($A$)$<br><br>1/3<br><br>$($B$)$<br><br>1/9<br><br>$($C$)$<br><br>1/27<br><br>$($D$)$<br><br>indeterminate<br><br>"," <br><br>As the value of &lt;em&gt;x&lt;/em&gt; approaches 27, both the numerator and denominator become zero, which yields the 0/0 form of an indeterminate answer. Use L’Hopital’s rule and differentiate the expression.<br><br>Use the rule<br>&lt;img src=&quot;000653.png&quot;&gt; <br>The first differentiation of the expression is<br>&lt;img src=&quot;000325.png&quot;&gt; <br>***The answer is $($C$)$.***<br><br>*** TODO 8 :drill:<br>SCHEDULED: &lt;2024-06-30 Sun&gt;<br>:PROPERTIES:<br>:ID:       c6d820a0-1ab3-4995-9f5a-7aca7f9280c9<br>:DRILL_LAST_INTERVAL: 13.9932<br>:DRILL_REPEATS_SINCE_FAIL: 3<br>:DRILL_TOTAL_REPEATS: 3<br>:DRILL_FAILURE_COUNT: 1<br>:DRILL_AVERAGE_QUALITY: 3.5<br>:DRILL_EASE: 2.75<br>:DRILL_LAST_QUALITY: 4<br>:DRILL_LAST_REVIEWED: [Y-06-13 Thu 12:%]<br>:END:<br><br>The three-number combination to open a safe is unknown. The lock keypad shows numbers from 0 to 9. The number of possible selections to open the combination lock is(hint:permutations)<br><br>$($A$)$<br><br>9<br><br>$($B$)$<br><br>81<br><br>$($C$)$<br><br>729<br><br>$($D$)$<br><br>1000<br><br>**** <br><br>In this problem, the order matters. For example, if the required combination to the safe is 123, then 321, 213, and so on, would not work. There are 10 numbers $($0 to 9$)$ to select from for each required number. For &lt;em&gt;n&lt;/em&gt; = 10 and &lt;em&gt;r&lt;/em&gt; = 1, use the formula for the number of different permutations.<br>&lt;img src=&quot;000080.png&quot;&gt;  <br>The process is repeated three times $($one for each entry number$)$.<br><br>Total permutations = $($10$)$$($10$)$$($10$)$ = 1000.<br><br>***The answer is $($D$)$.***<br><br>","ME_Exam,Problem_7"
"<br>:PROPERTIES:<br>:ID:       e57c7916-6478-4244-8509-cd140d2f2ca0<br>:END:<br><br>A factory employs 100 workers. Their wages vary according to the tasks they perform, as shown.<br>     no. of workers hourly wage   10 $20.00   10 $40.00  15 $35.00  20 $22.00   20 $25.00  25 $30.00  <br>The median hourly wage of the workers is most nearly<br><br>$($A$)$<br><br>$25.00/hr<br><br>$($B$)$<br><br>$27.50/hr<br><br>$($C$)$<br><br>$30.00/hr<br><br>$($D$)$<br><br>$34.75/hr<br><br>"," <br><br>Arrange the data in either descending or ascending order. The set of data is comprised of 100 workers. Therefore, &lt;em&gt;n&lt;/em&gt; = 100. The data in ascending order of wages is shown:<br>     No. No. of  <br>workers Wage  <br>$($$/hr$)$ Cumulative  <br>frequency Notes  1 10 $20.00 10   2 20 $22.00 10 \+ 20 = 30   3 20 $25.00 30 \+ 20 = 50 50th ordered value  4 25 $30.00 50 \+ 25 = 75 51st ordered value  5 15 $35.00 75 \+ 15 = 90   6 10 $40.00 90 \+ 10 = 100 Total workers, &lt;em&gt;n&lt;/em&gt; = 100 <br>Since &lt;em&gt;n&lt;/em&gt; is an even number, consider the two middle values: the 50th value is $25, and the 51st value is $30. The median is the average.<br>&lt;img src=&quot;000528.png&quot;&gt; <br>***The answer is B.***<br><br>","ME_Exam,Problem_9"
"<br>:PROPERTIES:<br>:ID:       d4683b5d-0436-4be5-9d3e-bfc3844b43ac<br>:END:<br><br>A 500,000 ft2 area is excavated to mine an ore. The site is expected to contain two types of materials: soft ore and rock. An engineering report estimates that the site contains 25% soft ore, and another report estimates that the site contains 55% soft ore. The unit costs are $100/ft2 to excavate soft ore and $300/ft2 to excavate rock. The expected excavation cost is most nearly<br><br>$($A$)$<br><br>$100 million<br><br>$($B$)$<br><br>$107 million<br><br>$($C$)$<br><br>$110 million<br><br>$($D$)$<br><br>$115 million<br><br>"," <br><br>Determine the expected cost based on the first report.<br>&lt;img src=&quot;000232.png&quot;&gt;  <br>Determine the expected cost based on the second report.<br>&lt;img src=&quot;000713.png&quot;&gt;  <br>Determine the expected cost: Use the equation for the arithmetic mean of a set of values from the Engineering Probability and Statistics section of the *NCEES Handbook*:<br>&lt;img src=&quot;000004.png&quot;&gt;  <br>***The answer is $($C$)$.***<br><br>","ME_Exam,Problem_10"
