"Front","Back","Tags"
"The equation of a line passing through points [latex](1, 2\)[/latex] and [latex](5, 0\)[/latex] is<br><br>[latex](A\)[/latex]<br><br>2<em>y</em> \+ <em>x</em> = 5<br><br>[latex](B\)[/latex]<br><br><em>y</em> \+ 2<em>x</em> = 5<br><br>[latex](C\)[/latex]<br><br><em>y</em> \+ 3<em>x</em> = 5<br><br>[latex](D\)[/latex]<br><br>3<em>y</em> \+ <em>x</em> = 5","See the <em>NCEES Handbook</em>, Mathematics section. The general equation of a straight line is<br><img src=""000750.png"">  <br>The slope, <em>m</em>, of a line passing through points [latex](<em>x</em>1, <em>y</em>1\)[/latex] and [latex](<em>x</em>2, <em>y</em>2\)[/latex] is<br><img src=""000577.png""> <br>For the two given points, the slope is<br><img src=""000074.png"">  <br>It can be represented graphically as<br><img src=""000082.png"">  <br>Use the slope and one of the original points to calculate the standard form of the line.<br><img src=""000029.png""> <br>The standard form of the line passing through the points [latex](1, 2\)[/latex] and [latex](5, 0\)[/latex] is<br><img src=""000109.png"">  <br>**<em>The answer is [latex](A\)[/latex].</em>**","ME_Exam,Problem_0"
"Line <em>y</em> = 2<em>x</em> is rotated about the <em>y</em>-axis. The volume of the resulting solid between <em>y</em> = 0 and <em>y</em> = 10 is most nearly<br><br>[latex](A\)[/latex]<br><br>50<em>π</em>/3<br><br>[latex](B\)[/latex]<br><br>100<em>π</em>/3<br><br>[latex](C\)[/latex]<br><br>150<em>π</em>/3<br><br>[latex](D\)[/latex]<br><br>250<em>π</em>/3","The line represented by the equation is shown.<br><img src=""000351.png"">  <br>The rotation of the line about its <em>y</em>-axis generates a conical shape. The area of the circle at the top of the conical shape at a given <em>x</em> is<br><img src=""000274.png""> <br>The volume of a slice of thickness <em>dy</em> is<br><img src=""000259.png"">  <br>The volume between <em>y</em> = 0 and <em>y</em> = 10 is<br><img src=""000345.png"">  <br>Shortcut: The solution can be arrived at by using the cone volume formula given in the Mensuration of Areas and Volumes section of the <em>NCEES Handbook</em>.<br><br>**<em>The answer is [latex](D\)[/latex].</em>**","ME_Exam,Problem_1"
"A differential equation, and its boundary conditions are<br><img src=""000548.png""> <br>The general solution to the equation is<br><br>[latex](A\)[/latex]<br><br><em>e</em>−3<em>t</em><br><br>[latex](B\)[/latex]<br><br><em>e</em>3<em>t</em><br><br>[latex](C\)[/latex]<br><br>3<em>e</em><em>t</em><br><br>[latex](D\)[/latex]<br><br><em>e</em><em>i</em>3<em>t</em>","The equation is a first-order linear homogeneous differential equation with constant real coefficients. For the form <em>y</em> ′ \+ <em>ay</em> = 0, the general solution is <em>y</em> = <em>Ce</em>−<em>at</em>. Here, <em>a</em> = 3, so <em>y</em> = <em>Ce</em>−3<em>t</em>.<br><br>The constant <em>C</em> must satisfy the boundary condition. Substitute <em>y</em>[latex](0\)[/latex] = 1 into the general solution.<br><img src=""000712.png"">  <br>Therefore, <em>C</em> = 1, and <em>y</em> = <em>e</em>−3<em>t</em>.<br><br>**<em>The answer is A.</em>**","ME_Exam,Problem_2"
"The area of a parallelogram bounded by vectors from the origin to points [latex](0, 5\)[/latex] and [latex](4, 5\)[/latex] is<br><br>[latex](A\)[/latex]<br><br>12.5<br><br>[latex](B\)[/latex]<br><br>16.0<br><br>[latex](C\)[/latex]<br><br>20.0<br><br>[latex](D\)[/latex]<br><br>25.0","See the <em>NCEES Handbook</em>, Mathematics section. The parallelogram can be drawn as<br><img src=""000781.png"">  <br>The two vectors are<br><img src=""000098.png""> <br>The rule: The magnitude of determinant is the area of parallelogram, with vectors arranged in columns. For two given vectors, the area of the parallelogram is<br><img src=""000498.png""> <br>**<em>The answer is [latex](C\)[/latex].</em>**","ME_Exam,Problem_3"
"SCHEDULED: <2024-06-28 Fri><br>:PROPERTIES:<br>:ID:       935b543b-5f9d-4aa2-948a-85a6a2bd7c92<br>:DRILL_LAST_INTERVAL: 6.3613<br>:DRILL_REPEATS_SINCE_FAIL: 2<br>:DRILL_TOTAL_REPEATS: 2<br>:DRILL_FAILURE_COUNT: 4<br>:DRILL_AVERAGE_QUALITY: 3.0<br>:DRILL_EASE: 2.606<br>:DRILL_LAST_QUALITY: 4<br>:DRILL_LAST_REVIEWED: [Y-06-20 Thu 15:%]<br>:END:<br><br>The following series equation is used to approximate the value of sin <em>x</em>, where <em>x</em> is an angle.<br><img src=""000120.png""><br>The value of a 30° angle is approximated using the equation. The nearest maximum error rounded to six decimal places is<br><br>[latex](A\)[/latex]<br><br>2×10−6<br><br>[latex](B\)[/latex]<br><br>4×10−6<br><br>[latex](C\)[/latex]<br><br>8×10−6<br><br>[latex](D\)[/latex]<br><br>1×10−7","See the <em>NCEES Handbook</em>, Mathematics section, for definition of a Taylor series. In a Taylor series, the function <em>f</em>[latex](<em>x</em>\)[/latex] is expanded about the point <em>a</em> and expressed as<br><img src=""000597.png""> <br>If the value of <em>a</em> is zero, then the Taylor’s series expansion is called a Maclaurin’s series and is expressed as<br><img src=""000773.png""> <br>The angle is<br><img src=""000657.png""> <br>The equation in the problem statement is an alternating series of Maclaurin’s equation. For alternating series, the rule is that the error in approximating the function cannot be more than the first neglected term in the series. In this problem, the neglected term is –<em>x</em>7/7\!.<br><br>Determine the maximum error as<br><img src=""000146.png""> <br>**<em>The answer is [latex](A\)[/latex].</em>**","ME_Exam,Problem_4"
"Consider the following program segment.<br>     10 INPUT A  20 B = 1  30 ITER = 1  40 ITER = ITER \+ 1  50 C = 0.5\*[latex](B \+ A/B\)[/latex]  60 B = C  70 GOTO 40  80 END  <br>For A = 100 and ITER = 4, the value of C is most nearly<br><br>[latex](A\)[/latex]<br><br>10.00<br><br>[latex](B\)[/latex]<br><br>10.15<br><br>[latex](C\)[/latex]<br><br>10.81<br><br>[latex](D\)[/latex]<br><br>14.92","The values of C at each iteration level are shown.<br>     ITER C = 0.5\<em>[latex](B \+ A/B\)[/latex]  1 = 0.5[latex](1 \+ 100/1\)[/latex] = 50   2 = 0.5[latex](50 \+ 100/50\)[/latex] = 26  3 = 0.5[latex](26 \+ 100/26\)[/latex] = 14.92  4 = 0.5[latex](14.92 \+ 100/14.92\)[/latex] = 10.81  5 = 0.5[latex](10.81 \+ 100/10.81\)[/latex] = 10.03  6 = 0.5[latex](10.03 \+ 100/10.03\)[/latex] = 10.00  <br>The algorithm is used to determine the square root of any number without using a square root function. The square root of 100 is 10, which is reached in six iterations. The problem asks for the value of C when at ITER = 4, which is 10.81.<br><br></em>*<em>The answer is [latex](C\)[/latex].</em>**","ME_Exam,Problem_5"
"A matrix is shown.<br><img src=""000049.png""> <br>The determinant of the matrix is most nearly<br><br>[latex](A\)[/latex]<br><br>−7<br><br>[latex](B\)[/latex]<br><br>10<br><br>[latex](C\)[/latex]<br><br>17<br><br>[latex](D\)[/latex]<br><br>24","Expansion by minors is used to find the value of a determinant. Using the <em>NCEES Handbook</em> notations, calculate the value of a third-order determinant by expanding the determinant.<br><img src=""000682.png""> <br>Use the above equation to calculate the determinant of the given matrix.<br><img src=""000400.png"">  <br>**<em>The answer is [latex](C\)[/latex].</em>**","ME_Exam,Problem_6"
"Consider the following expression.<br><img src=""000121.png"">  <br>The value of this expression is<br><br>[latex](A\)[/latex]<br><br>1/3<br><br>[latex](B\)[/latex]<br><br>1/9<br><br>[latex](C\)[/latex]<br><br>1/27<br><br>[latex](D\)[/latex]<br><br>indeterminate","As the value of <em>x</em> approaches 27, both the numerator and denominator become zero, which yields the 0/0 form of an indeterminate answer. Use L’Hopital’s rule and differentiate the expression.<br><br>Use the rule<br><img src=""000653.png""> <br>The first differentiation of the expression is<br><img src=""000325.png""> <br>**<em>The answer is [latex](C\)[/latex].</em>*<em><br><br></em>*<em> TODO 8 :drill:<br>SCHEDULED: <2024-06-30 Sun><br>:PROPERTIES:<br>:ID:       c6d820a0-1ab3-4995-9f5a-7aca7f9280c9<br>:DRILL_LAST_INTERVAL: 13.9932<br>:DRILL_REPEATS_SINCE_FAIL: 3<br>:DRILL_TOTAL_REPEATS: 3<br>:DRILL_FAILURE_COUNT: 1<br>:DRILL_AVERAGE_QUALITY: 3.5<br>:DRILL_EASE: 2.75<br>:DRILL_LAST_QUALITY: 4<br>:DRILL_LAST_REVIEWED: [Y-06-13 Thu 12:%]<br>:END:<br><br>The three-number combination to open a safe is unknown. The lock keypad shows numbers from 0 to 9. The number of possible selections to open the combination lock is(hint:permutations)<br><br>[latex](A\)[/latex]<br><br>9<br><br>[latex](B\)[/latex]<br><br>81<br><br>[latex](C\)[/latex]<br><br>729<br><br>[latex](D\)[/latex]<br><br>1000<br><br></em>**<em> <br><br>In this problem, the order matters. For example, if the required combination to the safe is 123, then 321, 213, and so on, would not work. There are 10 numbers [latex](0 to 9\)[/latex] to select from for each required number. For </em>n<em> = 10 and </em>r<em> = 1, use the formula for the number of different permutations.<br><img src=""000080.png"">  <br>The process is repeated three times [latex](one for each entry number\)[/latex].<br><br>Total permutations = [latex](10\)[/latex][latex](10\)[/latex][latex](10\)[/latex] = 1000.<br><br></em>*<em>The answer is [latex](D\)[/latex].</em>**","ME_Exam,Problem_7"
"A factory employs 100 workers. Their wages vary according to the tasks they perform, as shown.<br>     no. of workers hourly wage   10 $20.00   10 $40.00  15 $35.00  20 $22.00   20 $25.00  25 $30.00  <br>The median hourly wage of the workers is most nearly<br><br>[latex](A\)[/latex]<br><br>$25.00/hr<br><br>[latex](B\)[/latex]<br><br>$27.50/hr<br><br>[latex](C\)[/latex]<br><br>$30.00/hr<br><br>[latex](D\)[/latex]<br><br>$34.75/hr","Arrange the data in either descending or ascending order. The set of data is comprised of 100 workers. Therefore, <em>n</em> = 100. The data in ascending order of wages is shown:<br>     No. No. of  <br>workers Wage  <br>[latex]($/hr\)[/latex] Cumulative  <br>frequency Notes  1 10 $20.00 10   2 20 $22.00 10 \+ 20 = 30   3 20 $25.00 30 \+ 20 = 50 50th ordered value  4 25 $30.00 50 \+ 25 = 75 51st ordered value  5 15 $35.00 75 \+ 15 = 90   6 10 $40.00 90 \+ 10 = 100 Total workers, <em>n</em> = 100 <br>Since <em>n</em> is an even number, consider the two middle values: the 50th value is $25, and the 51st value is $30. The median is the average.<br><img src=""000528.png""> <br>**<em>The answer is B.</em>**","ME_Exam,Problem_9"
"A 500,000 ft2 area is excavated to mine an ore. The site is expected to contain two types of materials: soft ore and rock. An engineering report estimates that the site contains 25% soft ore, and another report estimates that the site contains 55% soft ore. The unit costs are $100/ft2 to excavate soft ore and $300/ft2 to excavate rock. The expected excavation cost is most nearly<br><br>[latex](A\)[/latex]<br><br>$100 million<br><br>[latex](B\)[/latex]<br><br>$107 million<br><br>[latex](C\)[/latex]<br><br>$110 million<br><br>[latex](D\)[/latex]<br><br>$115 million","Determine the expected cost based on the first report.<br><img src=""000232.png"">  <br>Determine the expected cost based on the second report.<br><img src=""000713.png"">  <br>Determine the expected cost: Use the equation for the arithmetic mean of a set of values from the Engineering Probability and Statistics section of the <em>NCEES Handbook</em>:<br><img src=""000004.png"">  <br>**<em>The answer is [latex](C\)[/latex].</em>**","ME_Exam,Problem_10"
